,Accuracy,Bearing,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,second,Speed,label
0,4.551,218.0,0.87028503,9.124908,-0.8957367,0.02468872,0.0024108887,-0.011856078999999999,0.0,8.48,1.0
1,4.551,218.0,0.7697295999999999,9.244019,-0.81373596,0.0115356445,1.5258788999999999e-05,0.0019378662,1.0,9.23,1.0
2,4.551,218.0,0.6907196,8.935760499999999,0.78260803,-0.028045654,-0.015213013000000001,0.010726929,2.0,9.73,1.0
3,4.551,218.0,0.5704193000000001,9.937744,0.40611267,0.017547607,0.023605347000000002,0.018341064,3.0,10.18,1.0
4,4.551,219.0,-1.4963837,9.582794,-0.031433105,0.03843689,-0.026992798,-0.013717651,4.0,9.99,1.0
5,4.551,219.0,0.97743225,8.51857,1.0627289,0.029434204,0.0030517578000000003,-0.029754639,5.0,9.44,1.0
6,4.551,219.0,0.87568665,9.985611,0.7610626,-0.045455933,0.00044250488,-0.00680542,6.0,8.27,1.0
7,4.551,219.0,0.68891907,9.367325,0.48991394,-0.0020446776999999998,0.0007019042999999999,0.018722534,7.0,7.35,1.0
8,4.551,219.0,0.42376709999999995,9.710281,-0.22355652,0.004760742,0.00044250488,-0.0022125244,8.0,6.68,1.0
9,4.551,219.0,0.69311523,10.248383,-0.18106079,0.029006958,0.006942749000000001,-0.024749756,9.0,6.49,1.0
10,4.551,219.0,0.7852935999999999,8.139084,-0.9819336,0.08811951,-0.002960205,-0.009460449000000001,10.0,6.64,1.0
11,4.551,219.0,0.64701843,8.961502000000001,-0.56474304,0.030334472999999997,0.07884216,-0.0006713867,11.0,7.17,1.0
12,4.551,219.0,0.7050934,9.426575,0.050582885999999994,-0.002746582,0.008636475,-0.0027008057,12.0,7.58,1.0
13,4.551,218.0,0.6823425,9.449921,0.036209106,0.020690918,-0.00041198730000000005,0.02798462,13.0,7.55,1.0
14,4.551,218.0,0.9822235,9.816833500000001,-0.23014832,0.0025787354,0.0011901855,-0.0063171387,14.0,7.05,1.0
