,Accuracy,Bearing,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,second,Speed,label
0,8.725,0.0,0.03232172,9.841366,0.5578489999999999,-0.0007574725999999999,0.0019547685999999997,-0.0019303318,0.0,0.0,1.0
1,8.693,0.0,-0.17477672,9.811439,-0.47046062,0.0016859882,-0.0035430184000000003,-0.003762927,1.0,0.0,1.0
2,8.265,0.0,-0.15562311,9.911995,0.089782566,0.003518585,0.006841690300000001,-0.0025411965,2.0,0.0,1.0
3,8.029,61.0,-0.03232172,9.865308,0.18674773,-0.012363912,0.017837264,-0.010482445,3.0,0.95,1.0
4,7.877999999999999,44.0,-0.15562311,10.064027000000001,0.03232172,0.009627238,0.011117746999999999,-9.773578499999999e-05,4.0,1.03,1.0
5,7.791,37.0,0.022744916,9.950302,0.61650693,0.0022968538,0.0025656337,0.00051312894,5.0,1.16,1.0
6,7.803,25.0,0.076614454,9.751583,0.5494693,0.0022968538,-0.012095132,-0.0049846573,6.0,1.75,1.0
7,7.82,14.0,0.42975920000000006,9.749189,1.3862427,-0.0019792020000000002,-0.005375614399999999,0.007843513,7.0,1.8,1.0
8,7.994,11.0,0.35793316,9.82341,1.7010802999999999,0.0029077195,-0.0047647487,0.00051312894,8.0,1.64,1.0
9,8.03,8.0,-0.10055647,9.816227,0.08619126,0.0010751244,0.0013439034,-0.0013194662,9.0,0.88,1.0
10,8.325,7.0,-0.19871874,9.860519,-0.3184288,-0.0019792020000000002,-0.002321288,-0.0019303318,10.0,0.52,1.0
11,8.041,17.0,-0.60573304,9.952697,-0.9888053,-0.009309586,0.01844813,-0.008038984,11.0,0.52,1.0
12,8.21,26.0,-0.7230489,9.799467,-1.2797008,-0.022137756,0.025167647999999997,-0.0141476365,12.0,0.7,1.0
13,8.311,19.0,-0.17836803,9.8198185,0.92775315,0.003518585,-0.027977627,0.006010916,13.0,1.99,1.0
14,8.855,22.0,-0.14844051,9.324219,0.44771573,-0.050848424,0.009285152,0.0090652425,14.0,3.33,1.0
15,14.0,23.0,0.9576806999999999,9.3182335,1.8854338,0.018790215,0.04288274,0.017617356,15.0,4.2,1.0
16,15.0,23.0,0.33518824,9.783905,1.7812861,0.049333475999999994,0.019058995,0.00051312894,16.0,4.24,1.0
17,12.628,21.0,0.36990416,9.951499,0.6799533,0.0022968538,-0.017592918,0.0017348601999999998,17.0,3.75,1.0
18,11.195,19.0,-0.29448682,10.0508585,-0.90021986,0.024898867999999998,-0.020647246,-0.007428119,18.0,3.1999998,1.0
19,10.384,20.0,0.46447513,9.710882000000002,-0.51235914,-0.02397035,0.0037873642999999998,-0.0013194662,19.0,2.22,1.0
20,9.968,21.0,-0.45370123,10.506953999999999,1.3467385,0.010848968999999998,-0.0004886924,-0.0025411965,20.0,2.47,1.0
21,9.743,20.0,0.22026655,9.437942999999999,0.8283938,-0.07406130400000001,-0.045081854000000005,0.042662833,21.0,2.55,1.0
22,9.788,19.0,-0.33159694,10.175357,0.676362,0.023677137,0.02761111,-0.02514321,22.0,3.6599998,1.0
23,9.501,12.0,0.23343466,10.012551,1.0127473,0.032840118,0.036774087999999996,0.010897839,23.0,3.31,1.0
24,9.259,13.0,0.34835634,9.406818,0.7529764,-0.03985285,-0.01881465,-0.014758501,24.0,2.81,1.0
