,Accuracy,Bearing,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,second,Speed,label
0,8.0,124.20085906982422,1.67958984375,-9.136358642578122,-3.0061248779296883,-0.019519639209735776,0.020105534649553208,0.02429468704424785,0.0,1.2769969701766968,1.0
1,8.0,114.0835952758789,2.6873138427734378,-8.752499389648438,-4.948300170898439,0.026606044554327617,0.3071357106161133,0.16672134109001252,1.0,1.2769969701766968,1.0
2,8.0,82.93431854248047,3.44112548828125,-7.813861083984375,-5.1667724609375005,-0.034710842699765765,0.5182964218679511,0.33236676509963303,2.0,1.2769969701766968,1.0
3,8.0,51.9981803894043,1.962960815429688,-9.29322204589844,-4.228283691406252,0.0005392901207410457,0.3367740303876052,0.20159996293845328,3.0,1.2769969701766968,1.0
4,8.0,44.75915145874024,0.4206451416015625,-9.760671997070313,-3.5453521728515627,0.05053774274199767,-0.08601344530683419,-0.015614912419461597,4.0,3.2035412788391118,1.0
5,8.0,44.75915145874024,0.3192596435546875,-8.807229614257816,-3.617279052734376,-0.031913191974637524,-0.007532751143289125,0.0017912421491872953,5.0,7.193710803985597,1.0
6,8.0,43.75082778930664,0.37473754882812493,-9.114825439453128,-4.1666748046875,-0.00342748832293198,-0.025614283364382116,0.028614334332356373,6.0,7.193710803985597,1.0
7,8.0,43.75082778930664,0.8538513183593751,-9.676931762695313,-3.838442993164063,0.013779994428397002,-0.03724563942530319,0.017069797322971886,7.0,7.354985237121582,1.0
8,8.0,43.75082778930664,0.7255493164062501,-9.32327880859375,-5.2759338378906255,-0.05425391772709424,-0.0799973644043452,0.025868615248484682,8.0,9.121366500854492,1.0
9,8.0,43.75082778930664,0.5154510498046876,-8.746368408203125,-3.7485717773437504,-0.002164617334016405,-0.009596700988100535,0.006336725497734539,9.0,9.121366500854492,1.0
10,8.0,42.71289825439453,-0.002691650390625,-8.640496826171876,-4.333108520507813,0.010984207916031816,0.1670561004390355,0.004703142485079935,10.0,9.121366500854492,1.0
11,11.0,40.6538200378418,0.3407928466796875,-8.27054443359375,-5.307934570312502,-0.020732709086266867,0.007293066645181994,0.041264349510232765,11.0,10.189312934875488,1.0
12,12.0,36.9864616394043,0.6652862548828126,-9.631921386718753,-5.669961547851562,0.008747685232583274,0.11910987975379393,0.030094785582331425,12.0,10.76327419281006,1.0
13,16.0,35.89594650268555,-0.13936767578125,-8.94046630859375,-5.092752075195314,-0.11405120526318842,0.020967067262193842,0.009531453541393594,13.0,10.76327419281006,1.0
14,16.0,34.786651611328125,-1.2412994384765623,-7.508807373046875,-6.247918701171876,-0.03264902338382642,-0.08945824417685169,0.0016165387816780975,14.0,10.3674955368042,1.0
15,16.0,35.810386657714844,-0.16493835449218752,-8.267254638671876,-7.007562255859376,-0.002910568755347599,-0.07022755794538951,-0.00017257283863713463,15.0,10.3674955368042,1.0
16,16.0,37.83646774291992,-0.5872283935546876,-8.167962646484376,-6.694882202148437,-0.018512964317685825,-0.04379435254580803,0.05074919773254996,16.0,6.775485038757324,1.0
17,16.0,37.83646774291992,0.524871826171875,-8.200112915039064,-4.9444122314453125,-0.021597703808324605,0.02330532269928341,0.018965435386890286,17.0,6.775485038757324,1.0
18,16.0,33.68317413330078,1.00906982421875,-9.334793090820312,-3.4532379150390633,-0.025273931377069986,0.0785659153184276,0.04136448436721973,18.0,4.5159573554992685,1.0
19,16.0,24.779306411743164,0.9845458984375,-8.817547607421877,-3.765618896484375,-0.012211658862449341,0.09227986335179064,0.10211411830912624,19.0,4.5159573554992685,1.0
20,16.0,17.033796310424805,0.4347015380859375,-8.741433715820314,-4.780072021484377,-0.045475872458084064,0.02527606190594205,0.05806143913758052,20.0,4.5159573554992685,1.0
21,16.0,13.958669662475586,0.15372314453125002,-8.341424560546876,-4.718463134765625,-0.026120550287606174,0.024302676527518087,0.04124517475038419,21.0,4.346555233001709,1.0
22,16.0,13.958669662475586,0.34632568359375004,-9.041702270507812,-4.056765747070313,0.00022663500876574322,0.03412308304718528,-0.03075498321656207,22.0,4.346555233001709,1.0
