,Accuracy,Bearing,Speed,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,second,label
0,3.0,9.0,0.0,0.10774237,9.670476,1.6999351000000005,0.016222138,-0.00052106805,0.00019853121,0.0,1.0
1,3.0,9.0,0.0,0.05985687,9.634562,2.4637089,-0.028981892,0.014139698,-0.007742717,1.0,1.0
2,3.0,9.0,0.0,0.2849187,9.545974,1.4533248,0.018665599,-0.0017427985999999998,0.0056963186,2.0,1.0
3,3.0,9.0,0.0,0.25858167,9.42626,1.6257126,0.0070591588,-0.0017427985999999998,-0.004077526,3.0,1.0
4,3.0,9.0,0.0,0.16281068,9.569917,1.6759924,0.005226563,0.0061984495,-0.0052992557,4.0,1.0
5,3.0,9.0,0.0,0.11971374,9.665688,2.1380875,0.005226563,0.0129179675,-0.007742717,5.0,1.0
6,3.0,9.0,0.0,0.20351335,9.70639,2.185973,-0.033868812000000005,0.047126424000000014,-0.050503284,7.0,1.0
7,3.0,9.0,0.0,-0.04070267,9.617802,2.3416007000000003,-0.032647084,0.015972293999999998,-0.0150731,8.0,1.0
8,3.0,9.0,0.0,0.22266756,9.478934,1.3264283,0.030882904,-0.015181833999999996,0.008139779,9.0,1.0
9,3.0,9.0,0.0,0.083799616,9.565128,1.7190893,0.015000408,0.004976719,-0.007742717,10.0,1.0
10,3.0,9.0,0.0,0.31604427,9.680053,2.169213,0.00033964106,8.979719000000001e-05,0.0063071838,11.0,1.0
11,3.0,9.0,0.0,0.08140534,9.73991,2.2099156000000004,0.004615698,-0.007851451,0.008139779,12.0,1.0
12,3.0,9.0,0.0,0.014365649,9.608225,2.3200524,-0.012488528999999998,0.004365854000000001,-0.0052992557,13.0,1.0
13,3.0,9.0,0.0,0.27055305,9.421472,1.5993756,0.03332636,-0.017014428999999998,0.0063071838,14.0,1.0
14,3.0,9.0,0.0,0.339987,9.332883,1.7214836,0.02355252,-0.015792700000000003,0.010583241,15.0,1.0
15,3.0,9.0,0.0,0.26097596,9.450203,1.6065584,0.022330789,-0.014570968,0.009972375,16.0,1.0
16,3.0,9.0,0.0,-0.34716985,10.225947,0.48843205,-0.0014929546,0.037352577000000005,0.011194105,17.0,1.0
17,3.0,24.0,1.1042948,-0.94573855,9.785401,0.4932206,-0.033257946000000004,0.27314657,0.03379612,18.0,1.0
18,3.0,350.0,2.780351,-1.5730386,10.07032,1.132492,0.019276464,0.48511678,0.07716755,19.0,1.0
19,3.37,326.0,3.6845584,-0.7637736999999999,9.967366,0.48124924,0.07853039,0.10515862,0.015470162,20.0,1.0
20,3.9,300.0,5.6974335,-1.3072741,9.9889145,1.0750294,-0.032647084,0.0685067,-0.12014192,22.0,1.0
21,3.9,300.0,6.4908295,0.16520496,9.215564,0.339987,-0.09617707,0.051402476,0.0063071838,23.0,1.0
22,3.9,298.0,6.3196754,-0.30646718,9.684841,4.1851926,-0.07540765,0.050180748,-0.041340306,24.0,1.0
23,3.9,299.0,6.0152215999999985,0.56744313,9.378374,1.3695252,-0.027760161,0.034298252,-0.02301435,25.0,1.0
24,3.9,299.0,6.3761773,-0.80687064,12.1605215,-9.213169,-0.044864386,0.014139698,-0.01629483,26.0,1.0
25,3.9,301.0,7.335841,-0.339987,9.411894,2.0758362,-0.11389216,0.08194574,-0.16290249,27.0,1.0
26,3.9,304.0,7.652115299999998,1.0798179,9.3592205,2.6169424,0.05592838,-0.1898893,0.054565538,28.0,1.0
27,3.9,307.0,7.908817999999999,-0.035914123,10.010463,2.944958,-0.11205956,0.015972293999999998,-0.06882924,29.0,1.0
28,3.9,308.0,7.7115545,-1.1731946000000002,9.974549,0.67757976,-0.010655933,0.034909114,-0.07127271,30.0,1.0
29,3.9,308.0,7.4154525,0.17238778,9.498088,0.17717634,0.06264789400000001,-0.110476814,0.20789272,31.0,1.0
30,3.9,307.0,7.085295,0.15083931,9.701602,1.9154198,-0.087014094,0.08622179,0.00019853121,32.0,1.0
31,3.9,305.0,6.817841499999999,-2.310475,9.845258,1.4605076,0.02355252,0.07766969,-0.040729437,33.0,1.0
32,3.9,303.0,6.8729143,-0.61293435,9.069513,2.3320236,-0.019818913,-0.05549894,0.046013422000000005,34.0,1.0
33,3.9,302.0,6.601639,-0.11971374,9.629773,2.3679377999999995,-0.039977465,0.039185174,-0.0010231993,35.0,1.0
34,3.9,299.0,5.613089,-0.31125572,9.287392,3.4645157,-0.020429777,0.0721719,0.002031127,36.0,1.0
35,3.9,295.0,4.134282,0.1699935,8.942616000000003,4.149278,0.08219559,0.0055875843,0.03746131,37.0,1.0
36,3.509,292.0,2.5293229,-0.098165266,9.692024,2.9425638,0.027217712,0.004976719,0.002031127,38.0,1.0
37,3.148,292.0,1.1682925,0.3902668,9.119793,2.2865324,0.050430592,-0.006629721,0.0056963186,39.0,1.0
38,3.0,290.0,0.37949982,0.31125572,9.696813,1.9561225,0.005226563,0.0061984495,0.0014202617000000002,40.0,1.0
39,3.0,290.0,0.40172985,-0.1340794,9.953,1.1300977,-0.010655933,0.017194023,-0.018127427,41.0,1.0
40,3.0,292.0,0.8740513000000001,0.27294734,9.730332,0.5506831999999999,-0.013099394,0.026357003,0.0026419922,42.0,1.0
41,3.034,289.0,2.1259615000000003,0.031125572,9.490906,0.7972935,0.0064482936,0.024524406,-0.009575313,43.0,1.0
42,3.451,285.0,3.2596054,-0.35435268,9.90272,-0.2753416,0.034548096,0.070950165,0.036850445,44.0,1.0
43,3.9,281.0,4.2985926,-0.5865973000000001,9.749487,3.2083282000000004,0.03882415,0.098439105,0.0038637226,45.0,1.0
44,3.9,276.0,4.822182700000001,-0.15562786,9.261055,2.0614705,0.029050307,0.05384594,0.047235154,46.0,1.0
45,3.9,271.0,4.839097,-0.73743665,9.694419,2.1045675,-0.007601607,0.11554333,0.008139779,47.0,1.0
46,3.9,263.0,4.674738400000002,0.52674043,9.5483675,2.5499027,0.051041458,0.05384594,0.038072176,48.0,1.0
47,3.74,262.0,3.8552432,-0.6296943,9.517242,2.9377751,0.051041458,-0.03228606,0.0044745877,49.0,1.0
48,3.482,261.0,2.6060019,0.4932206,9.514848,2.9138324,-0.025927564,0.030022195,0.014859296,50.0,1.0
49,3.202,260.0,1.6004736000000002,0.42139238,9.440625,3.2705793,-0.027149295,0.023302678,0.005085453,51.0,1.0
50,3.0,258.0,0.81036747,0.08619389,9.799767,2.8348215,-0.01737545,0.0074201804,-0.0052992557,52.0,1.0
51,3.0,259.0,0.28432837,0.1987248,9.943423,2.2242813,-0.0033255504,-0.0072405859999999985,0.0038637226,53.0,1.0
52,3.0,259.0,0.0,0.11013664,9.924269,1.9968252,-0.013710259,0.008641911,0.006918049,54.0,1.0
53,3.0,259.0,0.0,0.22027329,9.8237095,2.1572416000000003,-0.018597182,0.0068093147,0.0056963186,55.0,1.0
54,3.0,259.0,0.0,0.4668836,9.423865,2.1093562,0.00033964106,8.979719000000001e-05,0.006918049,56.0,1.0
55,3.0,259.0,0.0,0.12210801,9.660899,1.9106313,-0.006990742,0.009863641,-0.0059101214,57.0,1.0
56,3.0,259.0,0.0,0.23703320000000005,9.608225,2.0494993000000004,0.0015613716,0.0007006624400000001,-0.0016340646,58.0,1.0
57,3.0,259.0,0.0,0.25139886,9.761458,2.19555,-0.0253167,0.015972293999999998,-0.0150731,59.0,1.0
58,3.0,259.0,0.0,0.31125572,9.842864,2.0447106,-0.013099394,0.008031045,0.0056963186,60.0,1.0
59,3.0,259.0,0.0,0.31365,9.711179,2.1883671,-0.010655933,0.004976719,-0.007742717,61.0,1.0
60,3.0,259.0,0.0,0.24421602,9.732727,2.0590763,-0.022873238,0.0037549888,0.0038637226,62.0,1.0
61,3.0,259.0,0.0,0.18675344,9.629773,2.0183737,-0.008212472,0.011085372,-0.013240503999999998,63.0,1.0
62,3.0,259.0,0.0,0.33759275,9.478934,1.4245936,0.036380693,-0.017625296000000002,0.011194105,64.0,1.0
63,3.0,259.0,0.0,0.11971374,9.450203,1.4676905,0.021719925,0.008031045,-0.019960022,65.0,1.0
64,3.0,259.0,0.0,0.47167215,9.478934,1.4605076,0.036380693,-0.022512216,0.017302757,66.0,1.0
65,3.0,259.0,0.0,0.32083282,9.644139,2.2123098,-0.0253167,0.004365854000000001,-0.00041233405,67.0,1.0
66,3.0,259.0,0.0,-0.023942748,9.519637,1.5850098999999995,0.025385117,-0.00540799,-0.008353583000000001,68.0,1.0
67,3.0,259.0,0.0,0.057462595,9.505271,1.838803,-0.00027122418,0.0055875843,-0.0034666602000000004,69.0,1.0
68,3.0,259.0,0.0,0.25858167,9.644139,1.9944309,-0.0033255504,0.004365854000000001,-0.004077526,70.0,1.0
69,3.0,259.0,0.0,0.25618739999999995,9.694419,1.359948,0.018665599,-0.009073181,0.0032528574,71.0,1.0
70,3.0,259.0,0.0,0.4285752000000001,9.438231,1.9704882,0.005837428,-0.008462316,0.009972375,72.0,1.0
71,3.0,259.0,0.0,0.4740664000000001,9.58907,1.4054393,0.03332636,-0.031675197,0.019135352,73.0,1.0
72,3.0,259.0,0.0,0.098165266,9.835681,1.5730386,0.002783102,0.0037549888,-0.012629638,74.0,1.0
73,3.0,259.0,0.0,0.29689008,9.431048,2.2242813,0.0095026195,0.004976719,-0.0046883905,75.0,1.0
